date,lastSyncTime,steps,distance,runDistance,calories
2019-01-01,1546385038,17308,13526,300,491
2019-01-02,1547677379,16077,12751,367,498
2019-01-03,1547677381,6392,4954,157,187
2019-01-04,1547677377,5222,4099,156,155
2019-01-05,1547677379,13894,10975,287,422
2019-01-06,1547677378,2293,1807,71,69
2019-01-07,1547677380,14743,11417,312,418
2019-01-08,1547677434,11703,9227,209,330
2019-01-09,1547677430,7084,5322,248,192
2019-01-10,1547677430,12207,9078,353,321
2019-01-11,1547677432,14275,10713,288,373
2019-01-12,1547677433,14387,10841,429,385
2019-01-13,1547677433,13921,10236,241,353
2019-01-14,1547677431,9094,7096,252,261
2019-01-15,1547677429,17982,14361,178,532
2019-01-16,1548023661,4893,3706,301,137
2019-01-17,1548023659,10565,8095,293,296
2019-01-18,1548023658,10448,8309,269,314
2019-01-19,1548023660,11218,8897,331,345
2019-01-20,1548455343,5400,4151,180,151
2019-01-21,1548455343,6607,4969,288,178
2019-01-22,1548455340,5451,4156,193,150
2019-01-23,1548455341,1560,1204,110,50
2019-01-24,1548455342,10174,7822,270,289
2019-01-25,1549011094,10010,7834,406,290
2019-01-26,1549011090,6216,4851,161,185
2019-01-27,1549011091,7188,5667,183,213
2019-01-28,1549011089,7144,5397,276,195
2019-01-29,1549011092,8576,6801,324,262
2019-01-30,1549011088,7891,6228,178,235
2019-01-31,1549011088,10294,8000,329,301
2019-02-01,1549642460,8362,6386,304,234
2019-02-02,1549642463,21021,15850,469,557
2019-02-03,1549401426,9619,7198,693,260
2019-02-04,1549401426,11912,9380,302,350
2019-02-05,1549642496,6191,4703,311,178
2019-02-06,1550220098,7767,6103,198,235
2019-02-07,1549642495,10268,7887,492,291
2019-02-08,1550220146,6443,4896,243,185
2019-02-09,1550220148,25969,19931,363,718
2019-02-10,1550220152,7792,5903,170,208
2019-02-11,1550220143,7358,5672,418,215
2019-02-12,1550220153,11230,8741,341,325
2019-02-13,1550220145,7645,5874,240,212
2019-02-14,1550220155,9592,7332,341,263
2019-02-15,1550788539,10321,7776,233,270
2019-02-16,1550788536,16278,12176,330,436
2019-02-17,1550788537,11056,8175,586,292
2019-02-18,1550788538,9111,6798,629,243
2019-02-19,1550788536,11502,8465,333,292
2019-02-20,1550788535,9758,7376,522,268
2019-02-21,1551049272,10587,8386,296,308
2019-02-22,1551049270,14374,11211,476,413
2019-02-23,1551049272,19614,14815,489,522
2019-02-24,1551049269,12672,9424,514,334
2019-02-25,1551721598,5834,4488,232,162
2019-02-26,1552842064,12776,9562,306,331
2019-02-27,1551721597,5815,4496,141,163
2019-02-28,1551721594,9344,7503,230,291
2019-03-01,1552842063,5036,3915,93,145
2019-03-02,1551721596,17748,14075,337,524
2019-03-03,1552842062,15190,11061,237,378
2019-03-04,1552842065,9184,7118,367,262
2019-03-05,1552842075,6557,5222,208,206
2019-03-06,1552842076,8694,6743,152,243
2019-03-07,1552842067,10149,7940,443,299
2019-03-08,1552842068,12854,9999,369,366
2019-03-09,1552842069,5092,4013,162,147
2019-03-10,1552842071,20090,14906,301,525
2019-03-11,1552842072,13144,10195,384,371
2019-03-12,1552842066,11666,8783,325,315
