type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
16,1598889964,7273,0.0,1.8000001,0.0,0.0,378.0
16,1598643931,2322,0.0,1.8000001,0.0,0.0,164.0
16,1598556943,1301,0.0,1.8000001,0.0,0.0,142.0
16,1596614404,521,0.0,1.8000001,0.0,0.0,59.0
16,1595234725,550,0.0,1.8000001,0.0,0.0,71.0
16,1594984401,506,0.0,1.8000001,0.0,0.0,55.0
16,1594627521,538,0.0,1.8000001,0.0,0.0,53.0
16,1593678510,525,0.0,1.8000001,0.0,0.0,65.0
16,1593590695,417,0.0,1.8000001,0.0,0.0,54.0
16,1593506056,553,0.0,1.8000001,0.0,0.0,68.0
16,1593417459,539,0.0,1.8000001,0.0,0.0,57.0
16,1593159897,536,0.0,1.8000001,0.0,0.0,63.0
16,1592945172,6812,0.0,1.8000001,0.0,0.0,224.0
16,1592901185,391,0.0,1.8000001,0.0,0.0,41.0
16,1592813935,555,0.0,1.8000001,0.0,0.0,67.0
16,1592732143,547,0.0,1.8000001,0.0,0.0,54.0
16,1592558285,532,0.0,1.8000001,0.0,0.0,61.0
16,1592468971,526,0.0,1.8000001,0.0,0.0,31.0
16,1592382395,1291,0.0,1.8000001,0.0,0.0,66.0
16,1592297072,264,0.0,1.8000001,0.0,0.0,26.0
16,1592207713,546,0.0,1.8000001,0.0,0.0,61.0
16,1592038424,523,0.0,1.8000001,0.0,0.0,38.0
16,1591950925,559,0.0,1.8000001,0.0,0.0,66.0
16,1591862470,590,0.0,1.8000001,0.0,0.0,78.0
16,1591776230,581,0.0,1.8000001,0.0,0.0,36.0
16,1591690098,588,0.0,1.8000001,0.0,0.0,77.0
16,1591602230,550,0.0,1.8000001,0.0,0.0,63.0
16,1591430388,557,0.0,1.8000001,0.0,0.0,17.0
16,1591343312,544,0.0,1.8000001,0.0,0.0,66.0
16,1591171218,571,0.0,1.8000001,0.0,0.0,48.0
16,1591083992,590,0.0,1.8000001,0.0,0.0,58.0
16,1590999405,652,0.0,1.8000001,0.0,0.0,62.0
16,1590919884,542,0.0,1.8000001,0.0,0.0,42.0
16,1590738450,631,0.0,1.8000001,0.0,0.0,68.0
16,1590652191,582,0.0,1.8000001,0.0,0.0,41.0
16,1590564404,561,0.0,1.8000001,0.0,0.0,32.0
16,1590478096,580,0.0,1.8000001,0.0,0.0,41.0
16,1590222114,577,0.0,1.8000001,0.0,0.0,43.0
16,1590047539,577,0.0,1.8000001,0.0,0.0,35.0
16,1589965042,599,0.0,1.8000001,0.0,0.0,50.0
16,1589878234,585,0.0,1.8000001,0.0,0.0,46.0
16,1589790265,586,0.0,1.8000001,0.0,0.0,67.0
16,1589531438,613,0.0,1.8000001,0.0,0.0,47.0
16,1589444639,557,0.0,1.8000001,0.0,0.0,67.0
16,1589355345,581,0.0,1.8000001,0.0,0.0,71.0
16,1589271728,584,0.0,1.8000001,0.0,0.0,38.0
16,1589010719,672,0.0,1.8000001,0.0,0.0,72.0
16,1588924422,595,0.0,1.8000001,0.0,0.0,67.0
16,1588840397,629,0.0,1.8000001,0.0,0.0,60.0
16,1588751341,644,0.0,1.8000001,0.0,0.0,71.0
16,1588666943,608,0.0,1.8000001,0.0,0.0,63.0
16,1588580858,610,0.0,1.8000001,0.0,0.0,59.0
16,1588501075,677,0.0,1.8000001,0.0,0.0,82.0
16,1588414759,655,0.0,1.8000001,0.0,0.0,45.0
16,1588237374,690,0.0,1.8000001,0.0,0.0,82.0
16,1588151907,705,0.0,1.8000001,0.0,0.0,55.0
16,1567629376,3121,0.0,1.8000001,0.0,0.0,108.0
1,1489907645,967,8.069308,0.0,2462.0,0.3927398,149.0
1,1483090810,1134,4.8806725,0.0,2285.0,0.4958327,134.0
1,1483004484,1590,9.938123,0.0,3262.0,0.48728234,198.0
1,1482829483,988,3.6192477,0.0,2012.0,0.48985243,118.0
1,1482486259,626,3.3395238,0.0,1207.0,0.51854736,70.0
1,1482397261,998,4.344442,0.0,1687.0,0.59016985,100.0
1,1481968454,1296,7.1319284,0.0,3594.0,0.36023712,219.0
1,1481445815,1502,3.9909768,0.0,2500.0,0.600768,146.0
1,1480847544,946,4.0483336,0.0,2582.0,0.36549285,151.0
1,1480761386,2042,9.109166,0.0,3787.0,0.5388843,227.0
1,1480235726,1732,8.202485,0.0,3996.0,0.433394,233.0
1,1479636989,1261,9.123367,0.0,3470.0,0.36302692,206.0
1,1479545557,1471,5.3037095,0.0,3924.0,0.37432295,230.0
1,1478943734,1422,8.442732,0.0,4051.0,0.35073593,241.0
1,1478507690,1462,7.8812375,0.0,4050.0,0.3607124,235.0
1,1478161110,1385,8.432209,0.0,4081.0,0.33884615,241.0
1,1478075011,1401,6.1971526,0.0,3258.0,0.42960244,199.0
1,1477988042,1378,3.5418022,0.0,4113.0,0.33472273,242.0
1,1477912616,2066,5.451921,0.0,3885.0,0.5315177,212.0
1,1477211332,1533,1.7758411,0.0,3975.0,0.3853897,236.0
1,1477123652,1922,8.874715,0.0,3903.0,0.4921607,237.0
1,1476947252,752,1.9846609,0.0,1785.0,0.4206785,100.0
