full_date,mood,activities,mood_num
2020-07-31,good,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | television | sun (on skin),4
2020-07-30,good,workplace work | personal work | people (1h+) | friends | party/bar | date (+time spent) | touch | eating out | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,4
2020-07-29,good,workplace work | personal work | people (1h+) | date (+time spent) | touch | eating out | cook (no microw) | gaming | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,4
2020-07-28,meh+,workplace work | personal work | people (1h+) | friends | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,3.5
2020-07-27,good+,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | eating out | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,4.5
2020-07-26,good,personal work | people (1h+) | date (+time spent) | touch | eating out | gaming | laundry | sun (on skin) | walking (30m+) | biking (20m+),4
2020-07-25,good+,people (1h+) | friends | date (+time spent) | touch | eating out | walking (30m+),4.5
2020-07-24,good+,workplace work | people (1h+) | date (+time spent) | touch | eating out | shopping (courses) | cook (no microw) | sun (on skin) | walking (30m+) | biking (20m+),4.5
2020-07-23,rad,workplace work | personal work | people (1h+) | friends | touch | cook (no microw) | reading | gaming | sun (on skin) | walking (30m+) | sport | volley,5
2020-07-22,good+,workplace work | personal work | people (1h+) | touch | shopping (courses) | cook (no microw) | reading | television | daysleep | sun (on skin) | sport | biking (20m+) | volley,4.5
2020-07-21,meh+,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | shopping (courses) | cook (no microw) | gaming | films | sun (on skin) | stress ventre | walking (30m+) | sport | biking (20m+),3.5
2020-07-20,meh,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | cleaning | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,3
2020-07-19,rad,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | eating out | films | laundry | sun (on skin) | walking (30m+) | biking (20m+),5
2020-07-18,rad,workplace work | people (1h+) | friends | date (+time spent) | touch | eating out | gaming | television | daysleep | sun (on skin) | walking (30m+) | biking (20m+),5
2020-07-17,rad,workplace work | personal work | people (1h+) | date (+time spent) | touch | eating out | reading | gaming | television | sun (on skin) | walking (30m+) | sport,5
2020-07-16,good+,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | eating out | shopping (courses) | cook (no microw) | gaming | television | walking (30m+),4.5
2020-07-15,good+,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | eating out | reading | gaming | walking (30m+) | biking (20m+),4.5
2020-07-14,meh,workplace work | personal work | people (1h+) | friends | cook (no microw) | reading | gaming | television | daysleep | walking (30m+) | biking (20m+),3
2020-07-13,good,workplace work | personal work | people (1h+) | friends | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport,4
2020-07-12,good+,personal work | people (1h+) | friends | cook (no microw) | gaming | television | daysleep | travel | sun (on skin) | walking (30m+),4.5
2020-07-11,rad,people (1h+) | friends | date (+time spent) | touch | eating out | travel | sun (on skin) | walking (30m+) | sport,5
2020-07-10,rad,people (1h+) | friends | eating out | gaming | television | daysleep | travel | sun (on skin) | walking (30m+),5
2020-07-09,rad,workplace work | personal work | people (1h+) | friends | eating out | travel | sun (on skin) | stress ventre | walking (30m+),5
2020-07-08,rad,workplace work | personal work | people (1h+) | friends | shopping (courses) | gaming | travel | sun (on skin) | walking (30m+),5
2020-07-07,good+,workplace work | people (1h+) | friends | shopping (courses) | cook (no microw) | travel | sun (on skin) | walking (30m+),4.5
2020-07-06,good+,workplace work | people (1h+) | friends | eating out | shopping (courses) | reading | gaming | travel | sun (on skin) | stress ventre | walking (30m+),4.5
2020-07-05,good+,personal work | people (1h+) | friends | eating out | reading | gaming | travel | sun (on skin) | walking (30m+),4.5
2020-07-04,good,workplace work | personal work | people (1h+) | friends | party/bar | cook (no microw) | gaming | television | walking (30m+) | sport | biking (20m+),4
2020-07-03,meh+,workplace work | people (1h+) | friends | party/bar | cook (no microw) | gaming | walking (30m+) | sport | biking (20m+),3.5
2020-07-02,good,workplace work | people (1h+) | friends | eating out | shopping (courses) | cook (no microw) | gaming | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-07-01,good,workplace work | people (1h+) | friends | cook (no microw) | reading | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-06-30,meh+,workplace work | people (1h+) | date (+time spent) | touch | cook (no microw) | gaming | television | sun (on skin) | stress ventre | walking (30m+) | sport | biking (20m+),3.5
2020-06-29,good,workplace work | personal work | people (1h+) | shopping (courses) | cook (no microw) | gaming | films | sun (on skin) | sport | biking (20m+) | volley,4
2020-06-28,good,personal work | people (1h+) | friends | eating out | reading | gaming | films | laundry | sun (on skin) | walking (30m+) | biking (20m+),4
2020-06-27,rad,people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | films | sun (on skin) | walking (30m+) | sport | volley,5
2020-06-26,good+,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-25,meh+,workplace work | personal work | people (1h+) | friends | party/bar | gaming | films | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,3.5
